sequence_id	protein_id	start	end	strand	domain	hmm	i_evalue	pvalue	domain_start	domain_end	cluster_probability
NC_003888.3	NC_003888.3_99	106694	112885	+	PF14765	Pfam	2.843206175398294e-27	1.0279125724505762e-30	1800	2059	0.9999856362935352
NC_003888.3	NC_003888.3_100	112932	119654	+	PF00109	Pfam	4.063236904239893e-42	1.4689938193202795e-45	4	271	0.9999383776952628
NC_003888.3	NC_003888.3_100	112932	119654	+	PF02801	Pfam	1.7715422992062478e-34	6.404708240080433e-38	280	391	0.9999383776952628
NC_003888.3	NC_003888.3_100	112932	119654	+	PF16197	Pfam	2.2221611035544162e-9	8.033843469104904e-13	396	446	0.9999383776952628
NC_003888.3	NC_003888.3_100	112932	119654	+	PF00109	Pfam	4.912624259059071e-21	1.7760752925014716e-24	545	700	0.9999383776952628
NC_003888.3	NC_003888.3_100	112932	119654	+	PF00698	Pfam	1.9647642599583286e-8	7.103269197246307e-12	971	1179	0.9999383776952628
NC_003888.3	NC_003888.3_100	112932	119654	+	PF07977	Pfam	1.9530303853497993e-39	7.060847380151119e-43	1678	1809	0.9999383776952628
NC_003888.3	NC_003888.3_100	112932	119654	+	PF07977	Pfam	1.9120428402532657e-42	6.912663919932269e-46	2087	2225	0.9999383776952628
NC_003888.3	NC_003888.3_102	120457	121371	+	PF00753	Pfam	6.684702037871898e-28	2.4167397100043016e-31	74	273	0.9467997959936464
NC_003888.3	NC_003888.3_102	120457	121371	+	PF12706	Pfam	1.6675707477627536e-6	6.028816875498025e-10	83	149	0.9467997959936464
NC_003888.3	NC_003888.3_103	121617	122456	-	PF03372	Pfam	3.1240936624589863e-24	1.1294626400791707e-27	42	270	0.9423715989310123
NC_003888.3	NC_003888.3_104	122743	125502	+	PF13191	Pfam	6.539205909473352e-17	2.364138072839245e-20	6	163	0.9410961325338014
NC_003888.3	NC_003888.3_104	122743	125502	+	PF00196	Pfam	2.5335190505630937e-14	9.159504882729912e-18	854	905	0.9410961325338014
NC_003888.3	NC_003888.3_107	127571	128290	+	PF12146	Pfam	8.132468337119727e-9	2.940154857960856e-12	5	213	0.9205682132827964
NC_003888.3	NC_003888.3_107	127571	128290	+	PF12697	Pfam	2.379257417885082e-19	8.601798329302539e-23	8	229	0.9205682132827964
NC_003888.3	NC_003888.3_109	130201	131001	-	PF00359	Pfam	2.1488648148298728e-31	7.768853271257675e-35	7	147	0.00005824846069083651
NC_003888.3	NC_003888.3_109	130201	131001	-	PF02302	Pfam	2.1847888604415805e-10	7.898730514973176e-14	175	260	0.00005824846069083651
NC_003888.3	NC_003888.3_110	131523	132296	+	PF00106	Pfam	1.883109594592621e-33	6.808060717977662e-37	10	189	0.016724608625603567
NC_003888.3	NC_003888.3_110	131523	132296	+	PF13561	Pfam	3.3347633425185923e-42	1.2056266603465626e-45	18	252	0.016724608625603567
NC_003888.3	NC_003888.3_112	132693	133520	+	PF06445	Pfam	2.325794564316212e-16	8.408512524642849e-20	122	264	0.013156709320350771
NC_003888.3	NC_003888.3_114	134295	136100	-	PF00578	Pfam	1.9416399519526182e-11	7.019667216025373e-15	10	128	0.004267703767762146
NC_003888.3	NC_003888.3_114	134295	136100	-	PF08534	Pfam	7.184686541141346e-9	2.5975005571732995e-12	20	137	0.004267703767762146
NC_003888.3	NC_003888.3_114	134295	136100	-	PF13905	Pfam	1.8705226674499406e-10	6.762554835321549e-14	33	127	0.004267703767762146
NC_003888.3	NC_003888.3_116	136683	137183	+	PF00440	Pfam	1.835830344383008e-11	6.637130673835893e-15	14	56	0.011130521273492983
NC_003888.3	NC_003888.3_118	137561	138589	+	PF12697	Pfam	1.8245489373974744e-9	6.596344676057391e-13	62	326	0.018434527134335937
NC_003888.3	NC_003888.3_118	137561	138589	+	PF12146	Pfam	1.9722809119233693e-6	7.130444367040381e-10	85	182	0.018434527134335937
NC_003888.3	NC_003888.3_120	139467	139712	+	PF13443	Pfam	4.456094872879496e-21	1.6110248998118206e-24	7	68	0.012146449462273664
NC_003888.3	NC_003888.3_120	139467	139712	+	PF01381	Pfam	5.415610368866517e-7	1.9579213191852917e-10	13	62	0.012146449462273664
NC_003888.3	NC_003888.3_120	139467	139712	+	PF12844	Pfam	2.03423103710051e-6	7.354414450833369e-10	13	64	0.012146449462273664
NC_003888.3	NC_003888.3_121	139709	140722	+	PF01494	Pfam	2.0548412221516494e-9	7.428927050439803e-13	15	59	0.023234587949305486
NC_003888.3	NC_003888.3_121	139709	140722	+	PF01266	Pfam	3.743399690492848e-7	1.3533621440682748e-10	17	53	0.023234587949305486
NC_003888.3	NC_003888.3_121	139709	140722	+	PF13450	Pfam	4.652934343341066e-8	1.682188844302627e-11	20	56	0.023234587949305486
NC_003888.3	NC_003888.3_121	139709	140722	+	PF01494	Pfam	1.6823325820140042e-6	6.082185762885048e-10	142	179	0.023234587949305486
NC_003888.3	NC_003888.3_123	141705	143315	+	PF00474	Pfam	3.2674490059073936e-19	1.1812903130540107e-22	44	460	0.003945585476336178
NC_003888.3	NC_003888.3_125	144704	145366	-	PF08534	Pfam	3.143538879445266e-34	1.1364927257575076e-37	48	212	0.004785831866318886
NC_003888.3	NC_003888.3_125	144704	145366	-	PF00578	Pfam	3.723020408312399e-24	1.3459943630919737e-27	49	195	0.004785831866318886
NC_003888.3	NC_003888.3_126	145499	146122	+	PF00440	Pfam	4.898180165258062e-13	1.7708532773890318e-16	21	68	0.011253829868215609
NC_003888.3	NC_003888.3_126	145499	146122	+	PF16859	Pfam	4.3972730489961e-8	1.5897588752697398e-11	105	192	0.011253829868215609
NC_003888.3	NC_003888.3_127	146977	148206	+	PF13738	Pfam	4.3551905581327263e-7	1.5745446703299805e-10	151	280	0.006080652323382838
NC_003888.3	NC_003888.3_127	146977	148206	+	PF00070	Pfam	1.0430100139205414e-6	3.770824345338183e-10	153	221	0.006080652323382838
NC_003888.3	NC_003888.3_128	148225	149184	+	PF04542	Pfam	7.57171567893537e-17	2.737424323548579e-20	14	77	0.0033052709266165187
NC_003888.3	NC_003888.3_129	149508	150224	-	PF01381	Pfam	2.842119103781957e-8	1.0275195602971644e-11	33	84	0.007296791350198039
NC_003888.3	NC_003888.3_131	151749	153275	+	PF13671	Pfam	1.0644493028495782e-24	3.8483344282341948e-28	319	459	0.0009220053247846135
NC_003888.3	NC_003888.3_131	151749	153275	+	PF13238	Pfam	2.313199611672574e-6	8.362977627160426e-10	321	445	0.0009220053247846135
NC_003888.3	NC_003888.3_131	151749	153275	+	PF13207	Pfam	1.2330208759685274e-6	4.4577761242535336e-10	324	452	0.0009220053247846135
NC_003888.3	NC_003888.3_132	153398	155728	+	PF00122	Pfam	4.1297728295579696e-38	1.4930487453210303e-41	131	301	0.005567098634689226
NC_003888.3	NC_003888.3_132	153398	155728	+	PF00702	Pfam	2.343751005889032e-35	8.473430968506985e-39	318	531	0.005567098634689226
NC_003888.3	NC_003888.3_133	155707	156120	-	PF03625	Pfam	2.5849229605669676e-26	9.345346929020128e-30	35	97	0.00006352719458833808
NC_003888.3	NC_003888.3_134	156338	157141	+	PF03976	Pfam	2.6103852859497414e-107	9.43740161225503e-111	9	231	0.000311937336099709
NC_003888.3	NC_003888.3_135	157189	158067	-	PF00582	Pfam	3.3082554259255386e-26	1.1960431764011347e-29	6	140	0.0038892941034291005
NC_003888.3	NC_003888.3_135	157189	158067	-	PF00582	Pfam	2.35920838092845e-22	8.529314464672632e-26	151	289	0.0038892941034291005
NC_003888.3	NC_003888.3_136	158732	159304	+	PF00027	Pfam	2.6220059855358875e-13	9.479414264410294e-17	64	150	0.0036867363649263993
NC_003888.3	NC_003888.3_137	159339	160025	+	PF00571	Pfam	7.215050818402532e-10	2.6084782423725713e-13	8	59	0.00046306255114988553
NC_003888.3	NC_003888.3_137	159339	160025	+	PF00571	Pfam	2.9180059544961725e-15	1.054955153469332e-18	90	143	0.00046306255114988553
NC_003888.3	NC_003888.3_137	159339	160025	+	PF04972	Pfam	7.73390577845468e-12	2.7960613804969923e-15	146	208	0.00046306255114988553
NC_003888.3	NC_003888.3_138	160356	161060	-	PF00571	Pfam	2.608147084880096e-11	9.429309779031438e-15	8	61	0.0003035978893147402
NC_003888.3	NC_003888.3_138	160356	161060	-	PF00571	Pfam	3.227276686589891e-16	1.166766697971761e-19	89	143	0.0003035978893147402
NC_003888.3	NC_003888.3_138	160356	161060	-	PF04972	Pfam	2.9183217612007924e-15	1.0550693279829329e-18	146	212	0.0003035978893147402
NC_003888.3	NC_003888.3_139	161237	162553	+	PF17767	Pfam	9.245707530267954e-23	3.3426274512899325e-26	6	128	0.000017494331861751467
NC_003888.3	NC_003888.3_139	161237	162553	+	PF04095	Pfam	2.258681332707567e-8	8.165876112464088e-12	150	263	0.000017494331861751467
NC_003888.3	NC_003888.3_140	162661	163119	+	PF00582	Pfam	2.4395881291788607e-31	8.819913699128202e-35	9	143	0.004716364743320688
NC_003888.3	NC_003888.3_141	163235	163891	-	PF02566	Pfam	1.9261552771311812e-12	6.963685022166237e-16	105	199	0.004366125574993346
NC_003888.3	NC_003888.3_142	164023	164931	-	PF12844	Pfam	7.58044374765026e-7	2.740579807538055e-10	94	149	0.030105430858913478
NC_003888.3	NC_003888.3_142	164023	164931	-	PF13413	Pfam	1.0025009981265073e-6	3.6243709259815885e-10	96	127	0.030105430858913478
NC_003888.3	NC_003888.3_142	164023	164931	-	PF01381	Pfam	5.032162772012255e-9	1.81929239769062e-12	97	151	0.030105430858913478
NC_003888.3	NC_003888.3_143	165460	165855	+	PF04972	Pfam	6.924204497817493e-9	2.503327728784343e-12	41	105	0.03205782274279297
NC_003888.3	NC_003888.3_146	166891	167337	+	PF00582	Pfam	7.2957540500041605e-9	2.637655115692032e-12	2	45	0.18562625496660098
NC_003888.3	NC_003888.3_147	167444	168514	-	PF08240	Pfam	7.428665200396412e-30	2.6857068692684063e-33	26	130	0.3242046508364524
NC_003888.3	NC_003888.3_147	167444	168514	-	PF01262	Pfam	4.148255166451152e-7	1.4997307181674448e-10	159	246	0.3242046508364524
NC_003888.3	NC_003888.3_147	167444	168514	-	PF16912	Pfam	5.329976165351481e-9	1.926961737292654e-12	169	334	0.3242046508364524
NC_003888.3	NC_003888.3_147	167444	168514	-	PF00107	Pfam	1.4953589005834348e-25	5.406214391118709e-29	178	300	0.3242046508364524
NC_003888.3	NC_003888.3_147	167444	168514	-	PF13602	Pfam	4.739127371622454e-10	1.713350459733353e-13	211	342	0.3242046508364524
NC_003888.3	NC_003888.3_148	168705	169556	-	PF00582	Pfam	1.9084273993518473e-26	6.899592911611885e-30	1	139	0.8139102274714057
NC_003888.3	NC_003888.3_148	168705	169556	-	PF00582	Pfam	3.458515866241432e-14	1.250367269067763e-17	152	280	0.8139102274714057
NC_003888.3	NC_003888.3_149	169584	170570	-	PF00582	Pfam	4.5142732044030916e-27	1.632058280695261e-30	29	166	0.906988421182932
NC_003888.3	NC_003888.3_149	169584	170570	-	PF00582	Pfam	2.5548845532713436e-18	9.236748204162486e-22	190	325	0.906988421182932
NC_003888.3	NC_003888.3_151	170911	172158	+	PF11066	Pfam	5.491214473493853e-14	1.9852546903448493e-17	181	252	0.9672766125306388
NC_003888.3	NC_003888.3_151	170911	172158	+	PF03441	Pfam	3.789576501579615e-59	1.3700565804698537e-62	267	407	0.9672766125306388
NC_003888.3	NC_003888.3_153	174131	174946	+	PF00348	Pfam	3.377440442672427e-32	1.221055836107168e-35	1	212	0.9950209618005111
NC_003888.3	NC_003888.3_154	174943	176514	+	PF01266	Pfam	3.247448647672821e-17	1.1740595255505498e-20	10	300	0.9973507711749858
NC_003888.3	NC_003888.3_154	174943	176514	+	PF13450	Pfam	1.2987956486891706e-12	4.695573567205967e-16	13	68	0.9973507711749858
NC_003888.3	NC_003888.3_154	174943	176514	+	PF01593	Pfam	3.4882835566408e-59	1.2611292684890818e-62	18	490	0.9973507711749858
NC_003888.3	NC_003888.3_155	176501	177496	+	PF00494	Pfam	8.167812528111849e-62	2.9529329458105024e-65	29	291	0.9999770778172243
NC_003888.3	NC_003888.3_156	177532	178503	+	PF00355	Pfam	2.5113645587386164e-14	9.07940910606875e-18	39	117	0.9999657465540721
NC_003888.3	NC_003888.3_156	177532	178503	+	PF19299	Pfam	8.736070643768654e-97	3.1583769500248207e-100	135	320	0.9999657465540721
NC_003888.3	NC_003888.3_157	178519	180087	-	PF03486	Pfam	1.956643192272621e-6	7.073908865772311e-10	36	73	0.9973155513525208
NC_003888.3	NC_003888.3_157	178519	180087	-	PF00890	Pfam	1.0813589718595722e-7	3.9094684449008397e-11	37	83	0.9973155513525208
NC_003888.3	NC_003888.3_157	178519	180087	-	PF12831	Pfam	6.69179724135285e-9	2.419304859491269e-12	37	85	0.9973155513525208
NC_003888.3	NC_003888.3_157	178519	180087	-	PF01266	Pfam	8.682683677601491e-13	3.139075805351226e-16	37	304	0.9973155513525208
NC_003888.3	NC_003888.3_157	178519	180087	-	PF13450	Pfam	5.403688229158899e-14	1.9536110734486258e-17	39	108	0.9973155513525208
NC_003888.3	NC_003888.3_157	178519	180087	-	PF01593	Pfam	1.1256732492613109e-33	4.069679136881095e-37	44	487	0.9973155513525208
NC_003888.3	NC_003888.3_158	180084	180824	-	PF01209	Pfam	2.667656351576557e-20	9.644455356386684e-24	6	219	0.9965487957999603
NC_003888.3	NC_003888.3_158	180084	180824	-	PF13489	Pfam	2.6327973856710647e-13	9.518428726214985e-17	33	165	0.9965487957999603
NC_003888.3	NC_003888.3_158	180084	180824	-	PF13847	Pfam	7.005948269787433e-17	2.5328807916801997e-20	48	155	0.9965487957999603
NC_003888.3	NC_003888.3_158	180084	180824	-	PF13649	Pfam	2.0551535096009206e-18	7.430056072309909e-22	53	147	0.9965487957999603
NC_003888.3	NC_003888.3_158	180084	180824	-	PF08242	Pfam	7.69500250231437e-17	2.781996566274176e-20	53	149	0.9965487957999603
NC_003888.3	NC_003888.3_158	180084	180824	-	PF08241	Pfam	1.0384595628184589e-17	3.754372967528774e-21	53	150	0.9965487957999603
NC_003888.3	NC_003888.3_159	180821	182008	-	PF05834	Pfam	1.465144431231533e-129	5.2969791440040955e-133	2	374	0.9958437008898919
NC_003888.3	NC_003888.3_160	182309	183559	-	PF00890	Pfam	8.984777407670395e-8	3.248292627501951e-11	10	45	0.9933636646522603
NC_003888.3	NC_003888.3_160	182309	183559	-	PF12831	Pfam	6.135867602430666e-7	2.2183180052171602e-10	10	47	0.9933636646522603
NC_003888.3	NC_003888.3_160	182309	183559	-	PF01266	Pfam	1.5165964511050556e-9	5.482995123300996e-13	10	389	0.9933636646522603
NC_003888.3	NC_003888.3_160	182309	183559	-	PF13450	Pfam	1.3300916974532754e-16	4.8087190797298464e-20	13	73	0.9933636646522603
NC_003888.3	NC_003888.3_160	182309	183559	-	PF01593	Pfam	3.433591577739895e-51	1.2413563187779807e-54	18	408	0.9933636646522603
NC_003888.3	NC_003888.3_161	183793	184797	-	PF02310	Pfam	8.18946195896343e-8	2.960759927318666e-11	214	301	0.9891559294756425
NC_003888.3	NC_003888.3_162	184958	185566	+	PF04542	Pfam	7.106174116347103e-19	2.5691157325911437e-22	39	107	0.9399266845765575
NC_003888.3	NC_003888.3_162	184958	185566	+	PF04545	Pfam	6.7035450197282474e-18	2.4235520678699376e-21	141	189	0.9399266845765575
